Date,Price,Market Cap,24 Hour Trading Vol
2021-07-30,15.236569038715562,15511762402.182098,859675435.1189196
2021-07-31,15.791851834578114,16020063316.840374,899105792.4212883
2021-08-01,16.912525912521748,17191651678.448353,970085119.0522482
2021-08-02,18.3233458957442,18560418021.78449,2222122744.8011594
2021-08-03,18.18533098596882,18581195437.747715,1322342228.4124486
2021-08-04,17.471733267876886,17745897142.51564,959709619.3894044
2021-08-05,19.1805497367464,19483236487.043167,1291235791.1619103
2021-08-06,19.140041901139757,19473342237.69863,1270447579.789482
2021-08-07,20.42446316253671,20766396621.81058,1293430028.7762022
2021-08-08,21.03524771687177,21265044607.579567,1269915497.355134
2021-08-09,19.742707991682025,20106626711.23179,1018656074.6366372
2021-08-10,20.62804403556566,20824372654.69003,1053844787.9927258
2021-08-11,20.653509906705786,21021462160.86903,1135180262.521386
2021-08-12,21.37773202804451,21760453709.923435,1462398351.259337
2021-08-13,20.76237423482401,21137761564.5968,1239209131.0266278
2021-08-14,22.604203176061617,22996186282.12132,1111594036.730999
2021-08-15,22.84491566328497,23372878955.12979,1157508341.238964
2021-08-16,23.111421610258507,23563334000.34182,944471290.0613952
2021-08-17,24.505600114092157,25452923777.416546,2081379320.9377131
2021-08-18,23.475585881540784,24159304429.401463,2580123102.601124
2021-08-19,24.217998883334403,24871121629.816124,1897698075.3012996
2021-08-20,26.39307969821538,26800386991.24821,1834951374.3786929
2021-08-21,28.11162896524324,28679131918.841976,1906428283.9811225
2021-08-22,27.98249951438773,28629606444.31811,1614836574.9771018
2021-08-23,27.76421923953403,28485595629.48397,1316710459.9558077
2021-08-24,27.874502464277278,28634802760.25213,1346642387.4207954
2021-08-25,25.155027283169083,25966214797.418373,1562256496.4319985
2021-08-26,26.047207844402852,26709687702.000237,1426104606.9529798
2021-08-27,24.3643860162625,25001420049.62348,1307436888.2346263
2021-08-28,26.547837050599668,27227356056.746326,1360622439.1787417
2021-08-29,25.99098096746212,26609443201.53512,829101579.1077722
2021-08-30,25.77658886830336,26402199659.960243,678938725.0418639
2021-08-31,26.00661198004802,26606852908.878548,1464426120.1452827
2021-09-01,31.69534711952069,32535963685.01559,4569057825.199612
